sampleID,fastq_R1,fastq_R2,SRR
Vis_yPAP_2A,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2A/Vis_yPAP_2A_S1_L001_R1_001.fastq.gz /workdir/dwm269/totalRNA/data/fastq/Vis_yPAP2_NextSeq/Vis_yPAP_2A_S1_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2A/Vis_yPAP_2A_S1_L001_R2_001.fastq.gz /workdir/dwm269/totalRNA/data/fastq/Vis_yPAP2_NextSeq/Vis_yPAP_2A_S1_L001_R2_001.fastq.gz,
Vis_yPAP_2B,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2B/Vis_yPAP_2B_S2_L001_R1_001.fastq.gz /workdir/dwm269/totalRNA/data/fastq/Vis_yPAP2_NextSeq/Vis_yPAP_2B_S1_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2B/Vis_yPAP_2B_S2_L001_R2_001.fastq.gz /workdir/dwm269/totalRNA/data/fastq/Vis_yPAP2_NextSeq/Vis_yPAP_2B_S1_L001_R2_001.fastq.gz,
Vis_yPAP_2D,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2D/Vis_yPAP_2D_S4_L001_R1_001.fastq.gz /workdir/dwm269/totalRNA/data/fastq/Vis_yPAP2_NextSeq/Vis_yPAP_2D_S1_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2D/Vis_yPAP_2D_S4_L001_R2_001.fastq.gz /workdir/dwm269/totalRNA/data/fastq/Vis_yPAP2_NextSeq/Vis_yPAP_2D_S1_L001_R2_001.fastq.gz,
Vis_ctrl_5A,/workdir/dwm269/muscle_visium/data/geo_vis579/Vis5A/Vis5A_S2_L001_R1_001.fastq.gz,/workdir/dwm269/muscle_visium/data/geo_vis579/Vis5A/Vis5A_S2_L001_R2_001.fastq.gz,
Vis_ctrl_7B,/workdir/dwm269/muscle_visium/data/geo_vis579/Vis7B/Vis7B_S2_L001_R1_001.fastq.gz,/workdir/dwm269/muscle_visium/data/geo_vis579/Vis7B/Vis7B_S2_L001_R2_001.fastq.gz,
Vis_ctrl_9A,/workdir/dwm269/muscle_visium/data/geo_vis579/Vis9A/Vis9A_S2_L001_R1_001.fastq.gz,/workdir/dwm269/muscle_visium/data/geo_vis579/Vis9A/Vis9A_S2_L001_R2_001.fastq.gz,
Vis_yPAP_3C,/workdir/dwm269/totalRNA/data/fastq/Vis_yPAP3_2K/Vis_yPAP_3C_S3_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/Vis_yPAP3_2K/Vis_yPAP_3C_S3_L001_R2_001.fastq.gz,
Vis_yPAP_3D,/workdir/dwm269/totalRNA/data/fastq/Vis_yPAP3_2K/Vis_yPAP_3D_S4_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/Vis_yPAP3_2K/Vis_yPAP_3D_S4_L001_R2_001.fastq.gz,
